Date,gross_return,transaction_cost,portfolio_return,turnover,equity_curve,benchmark_return,benchmark_equity
2021-10-08,-0.010454068016379325,0.0,-0.010454068016379325,0.0,5.6545257876268735,-0.0018239134929930456,2.4194331973638277
2021-10-11,-0.012532819485684021,0.0,-0.012532819485684021,0.0,5.583658636653401,-0.007239587384149315,2.4019174993114003
2021-10-12,0.010578813092694372,0.0,0.010578813092694372,0.0,5.6427271177439655,-0.002461712646094627,2.3960046686284695
2021-10-13,0.021932981610421343,0.0,0.021932981610421343,0.0,5.76648894785007,0.003597690272962195,2.404624751318766
2021-10-14,0.02811300673223649,0.0,0.02811300673223649,0.0,5.928602290462346,0.016820792487435732,2.4450724452708505
2021-10-15,-0.005473667556309181,0.0,-0.005473667556309181,0.0,5.896151092450782,0.007615602109367181,2.463693144142611
2021-10-18,0.007324570176152234,0.0,0.007324570176152234,0.0,5.9393378648966335,0.0029606291369681514,2.4709872258497083
2021-10-19,0.004216916785830194,0.0,0.004216916785830194,0.0,5.9643835584358325,0.007714753749662906,2.4900502838157017
2021-10-20,0.005638516997190424,0.0,0.005638516997190424,0.0,5.998013836507836,0.003927837520959043,2.499830796749548
2021-10-21,0.004588193046569988,0.0,0.004588193046569988,0.0,6.025533881885731,0.002608265477624494,2.5063510191166123
2021-10-22,0.002661465002117447,0.0,0.002661465002117447,0.0,6.041570629431443,-0.0010361403047198792,2.5037540878079296
2021-10-25,0.015243320238140068,0.0,0.015243320238140068,0.0,6.133664225277208,0.005362753356261463,2.517181103445575
2021-10-26,-0.0013090060244771995,0.0,-0.0013090060244771995,0.0,6.1256352218542,0.0008998447879979832,2.5194461757419577
2021-10-27,0.00015968304549884849,0.0,0.00015968304549884849,0.0,6.1266133819420405,-0.004430245053647752,2.5082844117839453
2021-10-28,0.018537031256945613,0.0,0.018537031256945613,0.0,6.240182605702322,0.009649052294443461,2.532486979242586
2021-10-29,0.0006165537284700817,0.0,0.0006165537284700817,0.0,6.244030013554203,0.0020291484227827894,2.5376257712022343
2021-11-01,0.014537345896979803,0.0,0.014537345896979803,0.0,6.3348016376523635,0.001720085234454105,2.5419907038218494
2021-11-02,0.006304713760816816,0.0,0.006304713760816816,0.0,6.374740748709315,0.004043265252836381,2.5522686465076454
2021-11-03,0.007971516601565087,0.0,0.007971516601565087,0.0,6.425557100418325,0.006104995206290376,2.5678502343597396
2021-11-04,0.01950244187409339,0.0,0.01950244187409339,0.0,6.5508711542779015,0.004712647668863257,2.5799516077806848
2021-11-05,0.0230545838918097,0.0,0.0230545838918097,0.0,6.7018987628686375,0.003469740398366117,2.5889033701000312
